module	CF_MAG_00002	Mycoplasma_Gadus_morhua_1	Mycoplasma_Gadus_morhua_2	Mycoplasma_HappyFish	Mycoplasma_HoloFish	Mycoplasma_NWS	Mycoplasma_haemofelis_Langford	Mycoplasma_haemofelis_Ohio2	Mycoplasma_iowae	Mycoplasma_laveretus	Mycoplasma_mobile	Mycoplasma_penetrans	NWS_MAG_00002	NWS_MAG_00005	NWS_MAG_00006	NWS_MAG_00007	NWS_MAG_00008	NWS_MAG_00010	NWS_MAG_00013	Ureaplasma_diversum	Ureaplasma_urealyticum_ATCC33699	CF_MAG_00001_contigs	GCF_028765605_1_ASM2876560v1_genomic	GCF_028765575_1_ASM2876557v1_genomic	GCF_003942025_1_ASM394202v1_genomic	GCF_000196495_1_ASM19649v1_genomic	GCF_001691055_1_ASM169105v1_genomic	GCF_014163665_1_ASM1416366v1_genomic	GCF_000286935_2_ASM28693v2_genomic	GCF_001691025_1_ASM169102v1_genomic	GCF_001690985_1_ASM169098v1_genomic	GCF_001691065_1_ASM169106v1_genomic
M00580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00609	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00611	0.3181818181818182	0.3181818181818182	0.22727272727272727	0.3181818181818182	0.3181818181818182	0.2727272727272727	0.18181818181818182	0.18181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.18181818181818182	0.3181818181818182	0.13636363636363635	0.18181818181818182	0.2727272727272727	0.3181818181818182	0.2727272727272727	0.2727272727272727	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091
M00612	0.3181818181818182	0.3181818181818182	0.22727272727272727	0.3181818181818182	0.3181818181818182	0.2727272727272727	0.18181818181818182	0.18181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.3181818181818182	0.18181818181818182	0.3181818181818182	0.13636363636363635	0.18181818181818182	0.2727272727272727	0.3181818181818182	0.2727272727272727	0.2727272727272727	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091	0.4090909090909091
M00613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009615384615384616	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0673076923076923	0.07692307692307693	0.07692307692307693	0.0673076923076923	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693
M00614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.05	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727
M00615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.75	0.75	0.75
M00616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.5	0.5	0.5	0.5	0.5	0.4444444444444444	0.4444444444444444	0.4444444444444444
M00617	0.16666666666666666	0.0	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.0	0.16666666666666666	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.16666666666666666	0.0	0.3333333333333333	0.0	0.0	0.16666666666666666	0.16666666666666666	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00618	0.25	0.0	0.07142857142857142	0.25	0.25	0.25	0.0	0.0	0.3214285714285714	0.0	0.25	0.3214285714285714	0.3214285714285714	0.0	0.25	0.0	0.5	0.0	0.0	0.25	0.25	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.6428571428571428	0.6428571428571428	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143
